Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume,ReTX
1.59E+12,3/28/20 04:00,BTCUSD,6127.86,6334.28,6038.09,6219.79,1440.854602,0.03464859
1.59E+12,3/27/20 04:00,BTCUSD,6821.95,6850,6071.87,6127.86,2960.203444,-0.014780242
1.59E+12,3/26/20 04:00,BTCUSD,6747.55,6869.5,6530.01,6821.95,2263.057246,0.113267927
1.59E+12,3/25/20 04:00,BTCUSD,6577.72,6977.69,6471.08,6747.55,4540.1262,-0.010905973
1.59E+12,3/24/20 04:00,BTCUSD,6560.95,6866.7,6405,6577.72,6312.89654,-0.025169135
1.58E+12,3/23/20 04:00,BTCUSD,5963.72,6711.19,5748.39,6560.95,8564.197969,-0.002549516
1.58E+12,3/22/20 04:00,BTCUSD,6362.46,6416.5,5689.92,5963.72,4750.993184,-0.091027976
1.58E+12,3/21/20 04:00,BTCUSD,6262.57,6464.21,5863.67,6362.46,2930.037468,0.066860953
1.58E+12,3/20/20 04:00,BTCUSD,6169,6961.65,5660.77,6262.57,8538.17482,-0.015699902
1.58E+12,3/19/20 04:00,BTCUSD,5305,6436.99,5296.04,6169,8527.689607,-0.01494115
1.58E+12,3/18/20 04:00,BTCUSD,5415.14,5500,5019.72,5305,6119.046558,-0.140055114
1.58E+12,3/17/20 04:00,BTCUSD,5347.41,5563.18,5075,5415.14,4937.319727,0.020761546
1.58E+12,3/16/20 04:00,BTCUSD,5258.08,5424.82,4428.83,5347.41,14638.84525,-0.012507525
1.58E+12,3/15/20 04:00,BTCUSD,5168.42,5987.11,5168.42,5258.08,5712.993975,-0.016705283
1.58E+12,3/14/20 04:00,BTCUSD,5607.46,5607.46,5051.95,5168.42,3445.859762,-0.017051852
1.58E+12,3/13/20 04:00,BTCUSD,5301.14,6000,4812.74,5607.46,10535.13674,0.084946657
1.58E+12,3/12/20 04:00,BTCUSD,7656.57,7656.57,3901.25,5301.14,26579.74243,-0.054627229
1.58E+12,3/11/20 04:00,BTCUSD,7926,8020,7575.01,7656.57,2526.823682,0.444325183
1.58E+12,3/10/20 04:00,BTCUSD,7908.79,8153.88,7705,7926,3226.574663,0.035189386
1.58E+12,3/9/20 04:00,BTCUSD,8074.97,8074.97,7310,7908.79,5202.436017,-0.002171335
1.58E+12,3/8/20 04:00,BTCUSD,8757.45,8760,8000.02,8074.97,2074.532196,0.021012064
1.58E+12,3/7/20 04:00,BTCUSD,9120,9225,8720,8757.45,699.6871092,0.084517961
1.58E+12,3/6/20 04:00,BTCUSD,9049.04,9180.5,9024.59,9120,696.4971301,0.041399037
1.58E+12,3/5/20 04:00,BTCUSD,8882.25,9168.62,8876.79,9049.04,1573.527576,-0.007780702
1.58E+12,3/4/20 04:00,BTCUSD,8787.27,8956.18,8670,8882.25,1283.908684,-0.018431789
1.58E+12,3/3/20 04:00,BTCUSD,8877.81,8910.6,8665.01,8787.27,1091.920574,-0.010693237
1.58E+12,3/2/20 04:00,BTCUSD,8605.01,8970.26,8596.18,8877.81,1124.044809,0.010303541
1.58E+12,3/1/20 04:00,BTCUSD,8619.7,8753.5,8410.01,8605.01,871.9755983,-0.030728299
1.58E+12,2/29/20 04:00,BTCUSD,8729.6,8804.14,8517.5,8619.7,466.2341011,0.001707145
1.58E+12,2/28/20 04:00,BTCUSD,8846,8868.52,8430,8729.6,1533.125849,0.012749864
1.58E+12,2/27/20 04:00,BTCUSD,8731.04,8973.9,8669.2,8846,1935.249449,0.013333944
1.58E+12,2/26/20 04:00,BTCUSD,9150,9272.43,8520,8731.04,2594.085541,-0.012995704
1.58E+12,2/25/20 04:00,BTCUSD,9592.16,9679.9,9101,9150,1442.525251,0.04798512
1.58E+12,2/24/20 04:00,BTCUSD,9786.57,9845.13,9488.33,9592.16,908.5851499,0.048323497
1.58E+12,2/23/20 04:00,BTCUSD,9797.42,10025,9587.46,9786.57,943.6637906,0.020267594
1.58E+12,2/22/20 04:00,BTCUSD,9685.45,9816.91,9582.37,9797.42,318.2336791,0.001108662
1.58E+12,2/21/20 04:00,BTCUSD,9718.52,9775.26,9575.01,9685.45,669.831351,-0.011428519
1.58E+12,2/20/20 04:00,BTCUSD,9576.75,9723.07,9390,9718.52,1273.177459,0.0034144
1.58E+12,2/19/20 04:00,BTCUSD,10167.73,10310.06,9290.73,9576.75,2194.232955,-0.014587612
1.58E+12,2/18/20 04:00,BTCUSD,9729.09,10275.62,9600,10167.73,1396.059559,0.06170987
1.58E+12,2/17/20 04:00,BTCUSD,9827.28,9846.89,9477.53,9729.09,1099.317733,-0.043140406
1.58E+12,2/16/20 04:00,BTCUSD,10009.32,10030.07,9628,9827.28,904.0396957,0.010092414
